;sample
x259;324.42271446911843
x260;299.86428797222976
x261;266.6539749013978
x262;224.35274799207102
x263;228.83190634657302
x264;315.48160111782823
x265;362.1202829744486
x266;250.9216622982249
x267;248.49466598694073
x268;216.92590067348013
x269;268.66217972798546
x270;231.10707887018475
x271;315.571499011474
x272;279.7923982108946
x273;293.7505338577476
x274;300.57501529747896
x275;493.9751494332422
x276;273.3892493823972
x277;360.23722686551946
x278;251.87974136251606
x279;311.3900698759581
x280;294.2598870254397
x281;287.6945688887327
x282;206.89011740163417
x283;196.2682475240568
x284;282.2614312855093
x285;266.4087260187978
x286;234.2197420325215
x287;313.0658207366562
x288;291.2494950593274
x289;297.3320678697748
x290;283.41072439592784
x291;224.8492928222853
x292;188.15114830973235
x293;351.3071103148451
x294;313.8534229934719
x295;210.63519632133583
x296;315.32970811026735
x297;229.5226899583928
x298;295.5525407822245
x299;367.99415897136475
x300;352.0484923416951
x301;253.59468009742346
x302;330.88516615564737
x303;282.4317832863378
x304;307.2109343744229
x305;359.30497572788863
x306;379.50667980423214
x307;248.25405676417307
x308;298.6555941710247
x309;313.0149315622543
x310;397.9947187479281
x311;333.61098116257017
x312;280.71835024320046
x313;309.1642067508343
x314;329.00608949600854
x315;236.43257232172846
x316;342.7111777938101
x317;239.5061898228161
x318;296.1505467969465
x319;293.15110518031247
x320;230.20998532393756
x321;304.2263314468121
x322;274.126507400305
x323;274.0287215359217
x324;311.06324814248654
x325;273.0957191372925
x326;349.74343655270286
x327;340.4293315228271
x328;287.48052562813575
x329;291.91359485169284
x330;218.61958626354485
x331;323.9244200986722
x332;271.2508091897621
x333;255.13844936212732
x334;236.3459935376344
x335;312.06056124111217
x336;398.407666425471
x337;254.4318242721897
x338;259.72180403858965
x339;284.1330123275079
x340;353.80580766205725
x341;326.49763103648866
x342;373.5641502153403
x343;250.22529986716455
x344;271.9580462102077
x345;370.16592020702734
x346;323.4396327403102
x347;262.4549378274891
x348;288.34603816624366
x349;226.12989005955
x350;204.46637861769165
x351;235.64133940840867
x352;313.06390528140844
x353;326.3329178073935
x354;374.13261399310846
x355;217.48474730878587
x356;288.1465213026616
x357;244.00689648566237
x358;301.1800386051323
x359;292.1088337608443
x360;290.2611720810087
x361;257.3991531247895
x362;312.68784840038444
x363;300.94568984131683
x364;311.63750219611205
x365;266.02891118081226
x366;317.217125326001
x367;286.54913872464107
x368;309.738990579103
x369;274.4741239764096
x370;319.34958879377916
x371;261.9891175957838
x372;283.93494179258255
x373;288.90883167146666
x374;327.2874212428678
x375;230.3473778626429
x376;228.24367600015393
x377;286.39350825897344
x378;306.9540349509061
x379;270.7249970059752
x380;323.65290027381053
x381;329.01434781762146
x382;292.54994767833887
x383;307.3259922274902
x384;297.2702155890153
x385;310.4737752148227
x386;328.6600641023559
x387;342.9567551117072
x388;271.1603851052719
x389;338.6585247954396
x390;270.0650404585204
x391;338.11295742179436
x392;346.2736040551874
x393;289.86487172425507
x394;222.08412366382797
x395;303.78946167835187
x396;246.9015437395328
x397;254.6479689082202
x398;219.75909277273396
x399;235.28761101976613
x400;311.0514593162224
x401;353.2062486645089
x402;299.25010357606277
x403;303.03471090583236
x404;310.75277708355253
x405;269.0976558625107
x406;276.86395884050984
x407;312.18936564401514
x408;372.823998583092
x409;384.4067227921096
x410;322.12241980203623
x411;318.6824743449763
x412;298.98269401839065
x413;335.8298725715413
x414;263.8009316399916
x415;293.63854070702854
x416;344.5309184448691
x417;290.71368573173606
x418;203.27612850573087
x419;282.11200063745724
x420;385.9540945187578
x421;384.56777884399474
x422;254.09568044505042
x423;279.56622509359534
x424;311.99115444110697
x425;309.1498564683404
x426;260.64291478386417
x427;279.53777940167123
x428;288.8950023481403
x429;334.2998884524214
x430;267.3616336437318
x431;260.62142308810905
x432;319.8343079609982
x433;301.2620294222344
x434;179.2598677448487
x435;264.96189078167714
x436;272.1617066463618
x437;252.24195303560808
x438;262.72726078756983
x439;326.8967530285916
x440;258.14246165326557
x441;360.8541700181277
x442;342.9497221678938
x443;247.36840556921544
x444;297.5976955856491
x445;313.02801046148426
x446;292.29447211261146
x447;291.3102274534437
x448;335.7509495408133
x449;230.3250544315395
x450;345.0279156067314
x451;277.0523169606655
x452;259.9661424263386
x453;299.56248045167433
x454;269.7933946096433
x455;388.45681135519743
x456;261.9116695777065
x457;268.25695021410723
x458;338.53327895487365
x459;292.22652012237
x460;240.74477222576374
x461;342.01775341038825
x462;269.37208116499545
x463;271.08947157046833
x464;303.47553460936905
x465;324.3530140292899
x466;346.35383874643617
x467;367.63428723366206
x468;215.59952432251296
x469;311.30584552226793
x470;302.3863143611394
x471;288.84422698207555
x472;285.9485467310919
x473;340.6069277210009
x474;264.7875030178501
x475;299.36183027354645
x476;287.07808464838064
x477;256.32639885407417
x478;240.4973060329766
x479;314.28497649444716
x480;357.46107036332364
x481;275.1961741627847
x482;278.0386821879178
x483;321.8151363468946
x484;319.9893026952749
x485;324.10673006055345
x486;253.02007470650227
x487;309.222172983514
x488;333.26369929500555
x489;344.4279776530767
x490;284.74544228056334
x491;270.34478189852183
x492;339.0328745232557
x493;205.63165731049799
x494;307.4723750358682
x495;397.2624399112556
x496;283.21602181930666
x497;289.7133834562966
x498;333.27237001667856
x499;276.8646746409116
x500;293.253161634723
x501;283.6852410481044
x502;318.0160671259575
x503;231.04411857490624
x504;298.6760421807678
x505;316.3919552674255
x506;316.8123985806464
x507;378.055374428125
x508;397.71098131159187
x509;344.5918994042464
x510;290.89000801924607
x511;229.3087860112088
x512;271.97116466483106
x513;313.6151282912583
x514;277.8963334832272
x515;253.869740322439
x516;324.6501891642585
x517;358.69530244089
x518;286.93235399536565
x519;261.2777910331706
x520;355.06174588771114
x521;308.34204735825017
x522;298.14698684075734
x523;336.4130724877922
x524;271.4596444368399
x525;289.85610570183957
x526;230.91747684529506
x527;311.306733826825
x528;223.8166265705163
x529;186.9168128772403
x530;241.80244449598592
x531;202.97204931359607
x532;328.8629308779736
x533;233.93656088536207
x534;332.1884705701346
x535;256.5638735229036
x536;209.26296155852032
x537;273.2098691737564
x538;371.98134163993296
x539;238.46143057479475
x540;303.38186885593495
x541;325.37989084405183
x542;339.60729792995886
x543;297.31719900095266
x544;313.38857921185365
x545;294.1923783134423
x546;364.5986287645165
x547;235.44526762045749
x548;258.3515394786744
x549;330.48202341949656
x550;271.443674941002
x551;280.62777780721945
x552;272.1153616300793
x553;314.3978793611792
x554;232.5024716888466
x555;284.27441668114426
x556;287.0399609811807
x557;323.2919311829555
x558;282.10804116318036
x559;258.03974070875864
x560;305.1652425018609
x561;204.6698068186182
x562;240.22509984171992
x563;361.5980855867986
x564;236.16576478038579
x565;333.6283786540746
x566;295.27184011269065
x567;280.99059403179444
x568;320.5763008404077
x569;252.50149589400596
x570;242.43303466151755
x571;402.8152703316472
x572;238.89629430976595
x573;283.56747440158495
x574;357.4560907535489
x575;252.32578330062117
x576;266.60645565588663
x577;293.9399854020427
x578;358.74102599320855
x579;227.31770821511446
x580;326.5436828305761
x581;347.1165902053487
x582;251.8269486266664
x583;349.733964034933
x584;215.7924730932972
x585;228.98555449274022
x586;267.825396846765
x587;277.62621493588443
x588;268.43772821621343
x589;238.45227013112844
x590;326.77077779103695
x591;400.184015193974
x592;292.7215418132328
x593;243.45250633725485
x594;277.9378542103282
x595;259.95271937018197
x596;345.57649941583713
x597;357.96964421971796
x598;351.02571374308656
x599;292.0856251104507
x600;268.74236916098556
x601;236.46797483824426
x602;240.81052245249953
x603;321.9854096026348
x604;312.22995737990146
x605;219.23994012053421
x606;281.32752295591183
x607;254.3574530516762
x608;318.4305169907327
x609;329.618246410033
x610;363.41404874413325
x611;247.65055384819044
x612;332.1265786810094
x613;293.15317959192356
x614;308.5640224127525
x615;306.0240381260689
x616;271.9971620914193
x617;214.11641251494234
x618;327.92940068749584
x619;279.83167972365425
x620;340.01074530370204
x621;260.6271094062737
x622;251.16617645966392
x623;219.02541813437617
x624;260.9272389839039
x625;285.5358764038648
x626;308.54031744280746
x627;307.36726906244763
x628;436.36206849229484
x629;283.66554934700065
x630;218.57021147998051
x631;265.98096752814547
x632;314.37559828339914
x633;327.11040535865953
x634;312.9240975271405
x635;373.63037303210723
x636;368.2892915462401
x637;274.18583797356206
x638;326.452484859233
x639;332.1187703923775
x640;268.75750745335205
x641;249.4061677573416
x642;388.67124120552734
x643;201.50856079497441
x644;335.7421392973064
x645;278.6684908851617
x646;261.32644179697456
x647;319.45486107722434
x648;313.95033542213827
x649;273.7063024931471
x650;318.7263434099983
x651;289.4100721961537
x652;410.48401995913474
x653;276.16682235753166
x654;256.4997123981558
x655;332.9678459820534
x656;246.39878933401639
x657;248.32986845039855
x658;260.8957713690512
x659;379.8614961855599
x660;243.8644810180903
x661;310.6315848221194
x662;296.9728937983166
x663;256.0833611048798
x664;354.6145394494704
x665;283.86704310246427
x666;331.17899508608133
x667;320.0432460530357
x668;313.09477230623855
x669;270.09304715823583
x670;284.6564404568691
x671;363.47063794573387
x672;211.37882403896887
x673;277.4203689164708
x674;313.84543689899704
x675;386.1868896243716
x676;313.7058149709422
x677;281.5424963924291
x678;307.28710709259855
x679;215.3126437071524
x680;311.13764705867976
x681;283.5445630826753
x682;287.4824130579251
x683;304.2164088747131
x684;336.5890324501474
x685;173.1552530923857
x686;331.0393477223713
x687;262.62424478287704
x688;355.88216826700716
x689;242.28884873459666
x690;274.5037951156649
x691;366.22241301326073
x692;376.8250227374444
x693;368.59282330195356
x694;372.47233234594546
x695;277.7171281103901
x696;329.73478244681445
x697;332.4519693222732
x698;322.53394343301596
x699;302.4569296088816
x700;323.3450961195118
x701;376.3142686911608
x702;381.6321781115701
x703;273.1525063254669
x704;353.2071580423482
x705;300.3077965419824
x706;358.52171274887075
x707;373.36097607499175
x708;283.92221224895417
x709;256.51329803942906
x710;309.9685733776789
x711;369.8375994871051
x712;401.17917253635596
x713;237.65102763659357
x714;292.94197857092644
x715;229.8032700011107
x716;380.93257091063504
x717;344.78257447103823
x718;283.15174923554014
x719;243.93370161115104
x720;206.19225898618484
x721;242.70449076007588
x722;344.0834211019555
x723;222.11356729686733
x724;236.08046740899016
x725;357.362589429345
x726;358.9779919295321
x727;344.38373698422134
x728;308.277565905245
x729;231.98435512489354
x730;326.2627556386895
x731;244.99941112888254
x732;372.8005366930592
x733;350.80047519093966
x734;349.0100317545841
x735;312.59312257789543
x736;265.66312987826313
x737;430.74948510812203
x738;307.6539219399127
x739;307.3784632274973
x740;350.7248980364555
x741;306.9858200249218
x742;303.50414456255794
x743;383.76251462252577
x744;388.58006405390205
x745;249.28604233672283
x746;263.8181378939519
x747;328.3516690935944
x748;338.2879154256088
x749;296.7612123463192
x750;316.230126474754
x751;294.77118698893025
x752;247.08257205855577
x753;280.4240750341294
x754;291.4148577992282
x755;227.5476055590132
x756;258.73148717415813
x757;319.2258400206659
x758;345.7555481431153
x759;195.09682619469157
x760;370.5349308618928
x761;359.1399820418279
x762;221.49293448782925
x763;302.5765319277089
x764;317.57588995081085
x765;315.9272169790407
x766;279.4254678760322
x767;296.57804262081373
x768;278.19809773032284
x769;300.0366348378465
x770;450.4002110752098
x771;297.270316703387
x772;288.0351835429267
x773;248.61110353717427
x774;295.70144593649616
x775;364.74739010389925
x776;304.6792534721131
x777;348.3606961231519
x778;346.41176763513124
x779;354.6607710888885
x780;297.5031024539649
x781;272.32756041489927
x782;251.7796470861999
x783;220.03285200897298
x784;325.3517436656024
x785;280.74990220474746
x786;319.54241603979233
x787;283.866495475968
x788;256.54490732322444
x789;230.92987312169717
x790;326.36459506425376
x791;309.13588078176116
x792;236.64125705234764
x793;299.1777806047726
x794;385.45805495150535
x795;262.80717082368386
x796;301.85427138821234
x797;336.0819112154772
x798;345.0215413209942
x799;278.6584817952068
x800;264.9403778996384
x801;328.13368671267835
x802;313.39167366533746
x803;325.41763943496926
x804;303.4255493466137
x805;324.5147711600916
x806;245.45639490313135
x807;356.59086000352653
x808;292.3847413893079
x809;269.9664650663128
x810;267.613743889629
x811;247.6752807542562
x812;349.26039335226375
x813;273.9588502955132
x814;234.04517361479463
x815;319.59938176535445
x816;263.3577415761773
x817;253.05362404616318
x818;308.27080769609745
x819;357.98859302832284
x820;300.0729145465891
x821;358.60121777172196
x822;299.04811545081026
x823;236.18773589811514
x824;350.79442530022374
x825;391.26243329911847
x826;279.38094786497453
x827;341.7775889937412
x828;259.2677338597551
x829;336.1969741883018
x830;316.10927318502564
x831;315.32534492025184
x832;404.2285400859237
x833;300.21779393950635
x834;379.74107801184766
x835;284.24430413784245
x836;327.56102548746605
x837;268.9388245217004
x838;292.3370910788447
x839;275.8354365225955
x840;246.21783052959447
x841;310.9951006541067
x842;289.2162831430431
x843;351.375476757749
x844;336.8884929684281
x845;274.6846171139787
x846;347.67616042821965
x847;305.2218565386781
x848;265.59290362174494
x849;324.0417664103574
x850;349.16719075885953
x851;344.9646885784862
x852;349.5123375850546
x853;300.8132056593043
x854;255.50186192206408
x855;433.23765196010214
x856;348.8886221619052
x857;221.56374980725056
x858;217.54783173478882
x859;261.11117244068174
x860;256.0618767985534
x861;265.7956325368475
x862;316.266925118417
x863;285.3372971162061
x864;285.79313493215903
x865;301.6603525039072
x866;318.7623542512867
x867;280.72859743588646
x868;265.98430390476227
x869;276.31006253496105
x870;406.96554004495783
x871;351.3105765292563
x872;258.4232467818068
x873;293.0772471574448
x874;368.93262266019565
x875;342.45034519953805
x876;406.7774805936201
x877;287.64455867323517
x878;352.8733422450308
x879;275.58699291280783
x880;275.84922960239044
x881;223.01652822549667
x882;427.34077547372124
x883;348.08811139673224
x884;258.5703611779761
x885;259.86365478812104
x886;424.9566453188728
x887;208.2545793454594
x888;340.616220224447
x889;300.11398460751883
x890;229.8486782436748
x891;283.52884777255355
x892;287.9611028706201
x893;251.07956647255855
x894;262.2288706112451
x895;261.80924783272377
x896;337.146982034831
x897;410.1247831736168
x898;411.9225189322038
x899;208.6610398294387
x900;239.4627012385692
x901;315.6633584623329
x902;251.51436055188472
x903;332.26543911377325
x904;299.1654388533594
x905;310.6433730299247
x906;262.638165138418
x907;280.4797338865862
x908;205.1581706843647
x909;256.5959551173633
x910;305.577054817087
x911;279.3255586290035
x912;297.1085042171797
x913;301.3227443025482
x914;263.39521477898586
x915;287.8895085005532
x916;354.49617380996006
x917;291.3788232282272
x918;249.34875410596737
x919;364.80734217036326
x920;301.2223834265526
x921;321.14213386071924
x922;314.29421249005725
x923;287.6638114279238
x924;221.6725725908122
x925;337.99262131384995
x926;364.999575816367
x927;252.0018140077046
x928;218.01472652903493
x929;236.53635252075344
x930;299.2673849280354
x931;216.32336318733564
x932;318.05596166910556
x933;234.37865139450673
x934;245.95988737375706
x935;321.1633864270837
x936;243.77892197017133
x937;237.9627054944807
x938;218.5205510239644
x939;289.540898279421
x940;375.86821103440036
x941;246.13858682337167
x942;277.82997170965047
x943;289.87119115549837
x944;328.6346837713432
x945;257.4223946588614
x946;344.3598960862912
x947;257.95070987522496
x948;262.5450826397529
x949;387.35201235132445
x950;221.9271434710057
x951;284.269189074731
x952;260.2311297913891
x953;295.9263666987892
x954;256.4599960811615
x955;269.99978122342344
x956;249.37589481484525
x957;175.4932578331607
x958;302.11598536180077
x959;289.7015426557729
x960;329.97215987657455
x961;237.0499339314479
x962;335.9684774583442
x963;323.8805035644998
x964;358.1390474788404
x965;296.88154673945434
x966;270.6367402510204
x967;256.0914456011155
x968;315.4787679401153
x969;223.64992594238066
x970;367.1365637121263
x971;310.01763792270486
x972;336.355834909264
x973;340.9191524880979
x974;316.6800941840288
x975;280.77610564167105
x976;303.88819462195744
x977;305.9386793998141
x978;242.8729866550191
x979;304.9499722929404
x980;245.37353093621135
x981;257.14864700588487
x982;408.97961451598087
x983;400.13796967887487
x984;294.37170952067794
x985;368.8439207922526
x986;256.09399358970734
x987;299.9459849881006
x988;303.60998710944375
x989;278.91573571660825
x990;294.0507207150445
x991;275.6815637029631
x992;255.6795612740171
x993;274.96265237135754
x994;317.1512935361917
x995;335.8883359270656
x996;420.3073771766988
x997;341.00199572607283
x998;307.37993463643033
x999;288.1308709267978
x1000;335.1908060872279
x1001;320.4940949876412
x1002;324.96728012672634
x1003;411.309704705268
x1004;268.8392414587436
x1005;303.5960454635157
x1006;309.3163576576139
x1007;354.5618274907895
x1008;243.0065038992705
x1009;308.4860256457479
x1010;334.6623296514386
x1011;289.3453416735934
x1012;224.44648431913646
x1013;408.62128386813293
x1014;285.15832928419707
x1015;219.416356361179
x1016;342.91954378413317
x1017;284.4327506905245
x1018;275.99096790885767
x1019;332.230724968553
x1020;236.17419446466195
x1021;273.0331804796627
x1022;308.9388819581639
x1023;345.64060816756523
x1024;353.35089879640253
x1025;237.29125691366406
x1026;285.10497752048
x1027;313.77784104550324
x1028;378.94828105039375
x1029;301.1883498187661
x1030;331.15195299928325
x1031;326.5732436669154
x1032;253.68987313352872
x1033;208.95906906329816
x1034;272.271022444763
x1035;349.25166313543787
x1036;276.75566425596617
x1037;323.1633330000982
x1038;289.46501425081937
x1039;281.9574472765102
x1040;261.42216133860774
x1041;327.29545710296924
x1042;196.89131422040597
x1043;266.37067786566683
x1044;246.15537741933974
x1045;257.8878401914823
x1046;264.46068197291805
x1047;332.13459357212076
x1048;280.38379977431
x1049;223.1088329085728
x1050;362.40790928611676
x1051;322.66610210118364
x1052;235.28459137043995
x1053;272.01411158319064
x1054;231.44760952377035
x1055;214.14148730931282
x1056;287.18697885368033
x1057;313.89497314041495
x1058;289.9745610312805
x1059;246.63248339225203
x1060;325.7521960245875
x1061;321.36318756940443
x1062;254.61031165255858
x1063;322.9694926469812
x1064;332.57424766219475
x1065;278.41463478023104
x1066;365.4724865288274
x1067;352.45564788046426
x1068;264.1429637397522
x1069;353.70867896425455
x1070;360.6745024530169
x1071;269.07208173776087
x1072;275.5290896686619
x1073;278.98913834345007
x1074;312.96224508975536
x1075;247.63098791772927
x1076;291.9478211357046
x1077;307.8332327686147
x1078;348.59256977865783
x1079;319.1598649275451
x1080;261.4473006091707
x1081;267.44985713084634
x1082;314.3293649429843
x1083;295.3870909835189
x1084;277.1807704587662
x1085;256.9756659100069
x1086;225.0053988886375
x1087;260.26889171240947
x1088;295.18039128398766
x1089;401.8929791633936
x1090;254.61609137871244
x1091;393.45595410564425
x1092;368.7832663093252
x1093;325.577832038527
x1094;256.8255515415453
x1095;212.55299697093545
x1096;302.5976523769082
x1097;289.2161582925712
x1098;250.31810494176082
x1099;225.8185937727598
x1100;291.08468063041545
x1101;334.922567487331
x1102;286.2704417265548
x1103;306.9274698341777
x1104;351.3711549093321
x1105;280.69531879040267
x1106;249.94129011693852
x1107;245.0782596408585
x1108;327.86969122817743
x1109;235.35828784818685
x1110;361.7440706904445
x1111;303.02640042557937
x1112;311.1946855817763
x1113;300.30108894020003
x1114;282.61189268770687
x1115;345.380608677203
x1116;253.3869314395529
x1117;345.6667844687026
x1118;272.5985004940267
x1119;290.8455377612466
x1120;338.69358387738123
x1121;451.3030442119199
x1122;241.7068212292702
x1123;248.59763388044507
x1124;275.06484264502
x1125;306.28529518523857
x1126;225.81242062448072
x1127;275.7696168255288
x1128;413.75756843744705
x1129;332.1115729406907
x1130;219.9587402469442
x1131;257.47623897318294
x1132;257.7501315377811
x1133;359.82075038531747
x1134;196.8378966837913
x1135;285.639023679116
x1136;235.55463193958144
x1137;410.52550866322656
x1138;244.58015771642755
x1139;304.5212281369869
x1140;325.29885104856044
x1141;318.00640615206754
x1142;389.7959050559907
x1143;357.2910263376189
x1144;270.88185246176937
x1145;319.3460793006578
x1146;285.95397687801125
x1147;324.3418383399171
x1148;294.2695175132797
x1149;345.4357102274617
x1150;391.3058999962892
x1151;255.03236669675113
x1152;328.7590991559278
x1153;333.21338880902414
x1154;339.6624218138472
x1155;208.12829581600823
x1156;271.3657341881739
x1157;310.96572113346156
x1158;286.1234421175794
x1159;260.5127189698349
x1160;379.7411230573282
x1161;299.9458318013802
x1162;326.6273714485042
x1163;367.00954321930624
x1164;360.3237424229383
x1165;285.72128949247565
x1166;312.1040438707749
x1167;286.7708034875526
x1168;261.8031388738264
x1169;303.1075526536971
x1170;256.34565429465704
x1171;251.72031379215034
x1172;315.4367612576964
x1173;311.5465897070618
x1174;325.4779554447464
x1175;241.3655151529822
x1176;305.4283903346865
x1177;299.04145620177627
x1178;446.27036707868115
x1179;309.59445830317907
x1180;347.7249361625621
x1181;271.4596246623651
x1182;279.98474556933735
x1183;348.48840249027194
x1184;254.95630251122049
x1185;322.1387863747211
x1186;307.2778657120466
x1187;223.47561746712788
x1188;311.74896942173984
x1189;274.7446354537061
x1190;215.2999186652705
x1191;325.13808469458536
x1192;254.64037568461376
x1193;275.89931107163807
x1194;274.82121384316525
x1195;227.67392866871478
x1196;301.3100948482794
x1197;253.7738173602189
x1198;228.28718554451774
x1199;314.8673715401696
x1200;259.74891542785565
x1201;251.14650145852383
x1202;359.53520267614
x1203;338.38159444884917
x1204;298.9341583072637
x1205;251.66073819852187
x1206;351.9010425934283
x1207;306.3724157341504
x1208;267.71479037509937
x1209;243.536109100794
x1210;309.7046326481614
x1211;363.8787594097059
x1212;325.84578502400024
x1213;411.89056003330097
x1214;267.59789128944817
x1215;267.3014220670813
x1216;273.9150573150453
x1217;244.38043076431228
x1218;321.7422136554939
x1219;335.3909933117898
x1220;310.964938307766
x1221;319.7683122955295
x1222;279.07452739343785
x1223;185.98943937462116
x1224;308.81753732653544
x1225;392.2974171994591
x1226;448.92501505530004
x1227;353.78860417363444
x1228;423.1580671546459
x1229;258.3146622681357
x1230;299.0578772034363
x1231;258.79974612412275
x1232;315.562640429338
x1233;424.347277742904
x1234;221.9605814588723
x1235;201.7739331938511
x1236;351.5991563677619
x1237;354.27291783293316
x1238;323.21979442049195
x1239;331.88086168245667
x1240;332.4785733389512
x1241;312.81009059526457
x1242;275.56130140892634
x1243;301.8630339423386
x1244;224.91516855833532
x1245;239.2322961188588
x1246;334.81569542079717
x1247;350.56300351315446
x1248;250.6162362794023
x1249;268.9949811460536
x1250;370.308218099391
x1251;257.0425813669138
x1252;305.97261584058333
x1253;358.0390902782746
x1254;238.07168300884766
